,value,timeOffset,referenceTime
495,15.9,PT6H,2024-09-04T00:00:00.000Z
496,21.2,PT0H,2024-09-05T00:00:00.000Z
497,17.4,PT6H,2024-09-05T00:00:00.000Z
498,20.1,PT0H,2024-09-06T00:00:00.000Z
499,20.6,PT6H,2024-09-06T00:00:00.000Z
500,19.1,PT0H,2024-09-07T00:00:00.000Z
501,19.7,PT6H,2024-09-07T00:00:00.000Z
502,18.8,PT0H,2024-09-08T00:00:00.000Z
503,20.0,PT6H,2024-09-08T00:00:00.000Z
504,17.3,PT0H,2024-09-09T00:00:00.000Z
505,18.9,PT6H,2024-09-09T00:00:00.000Z
506,14.2,PT0H,2024-09-10T00:00:00.000Z
507,16.2,PT6H,2024-09-10T00:00:00.000Z
508,11.7,PT0H,2024-09-11T00:00:00.000Z
509,12.8,PT6H,2024-09-11T00:00:00.000Z
510,11.9,PT0H,2024-09-12T00:00:00.000Z
511,11.6,PT6H,2024-09-12T00:00:00.000Z
512,10.3,PT0H,2024-09-13T00:00:00.000Z
513,11.1,PT6H,2024-09-13T00:00:00.000Z
514,9.4,PT0H,2024-09-14T00:00:00.000Z
515,9.5,PT6H,2024-09-14T00:00:00.000Z
516,11.7,PT0H,2024-09-15T00:00:00.000Z
517,10.2,PT6H,2024-09-15T00:00:00.000Z
518,12.9,PT0H,2024-09-16T00:00:00.000Z
519,13.4,PT6H,2024-09-16T00:00:00.000Z
520,13.4,PT0H,2024-09-17T00:00:00.000Z
521,12.6,PT6H,2024-09-17T00:00:00.000Z
522,14.6,PT0H,2024-09-18T00:00:00.000Z
523,13.6,PT6H,2024-09-18T00:00:00.000Z
524,14.1,PT0H,2024-09-19T00:00:00.000Z
525,13.8,PT6H,2024-09-19T00:00:00.000Z
526,11.4,PT0H,2024-09-20T00:00:00.000Z
527,14.1,PT6H,2024-09-20T00:00:00.000Z
528,13.2,PT0H,2024-09-21T00:00:00.000Z
529,12.2,PT6H,2024-09-21T00:00:00.000Z
530,13.2,PT0H,2024-09-22T00:00:00.000Z
531,13.5,PT6H,2024-09-22T00:00:00.000Z
532,13.3,PT0H,2024-09-23T00:00:00.000Z
533,12.7,PT6H,2024-09-23T00:00:00.000Z
534,13.8,PT0H,2024-09-24T00:00:00.000Z
535,13.8,PT6H,2024-09-24T00:00:00.000Z
536,12.3,PT0H,2024-09-25T00:00:00.000Z
537,13.7,PT6H,2024-09-25T00:00:00.000Z
538,8.8,PT0H,2024-09-26T00:00:00.000Z
539,10.1,PT6H,2024-09-26T00:00:00.000Z
540,8.3,PT0H,2024-09-27T00:00:00.000Z
541,9.2,PT6H,2024-09-27T00:00:00.000Z
542,7.6,PT0H,2024-09-28T00:00:00.000Z
543,7.8,PT6H,2024-09-28T00:00:00.000Z
544,5.9,PT0H,2024-09-29T00:00:00.000Z
545,6.5,PT6H,2024-09-29T00:00:00.000Z
546,8.3,PT0H,2024-09-30T00:00:00.000Z
547,7.0,PT6H,2024-09-30T00:00:00.000Z
548,9.1,PT0H,2024-10-01T00:00:00.000Z
549,9.0,PT6H,2024-10-01T00:00:00.000Z
550,8.7,PT0H,2024-10-02T00:00:00.000Z
551,8.3,PT6H,2024-10-02T00:00:00.000Z
552,8.6,PT0H,2024-10-03T00:00:00.000Z
553,8.6,PT6H,2024-10-03T00:00:00.000Z
554,7.3,PT0H,2024-10-04T00:00:00.000Z
555,8.2,PT6H,2024-10-04T00:00:00.000Z
556,9.1,PT0H,2024-10-05T00:00:00.000Z
557,8.7,PT6H,2024-10-05T00:00:00.000Z
558,10.4,PT0H,2024-10-06T00:00:00.000Z
559,8.9,PT6H,2024-10-06T00:00:00.000Z
560,9.0,PT0H,2024-10-07T00:00:00.000Z
561,10.3,PT6H,2024-10-07T00:00:00.000Z
562,10.6,PT0H,2024-10-08T00:00:00.000Z
563,9.5,PT6H,2024-10-08T00:00:00.000Z
564,11.7,PT0H,2024-10-09T00:00:00.000Z
565,11.1,PT6H,2024-10-09T00:00:00.000Z
566,9.0,PT0H,2024-10-10T00:00:00.000Z
567,11.9,PT6H,2024-10-10T00:00:00.000Z
568,5.3,PT0H,2024-10-11T00:00:00.000Z
569,6.5,PT6H,2024-10-11T00:00:00.000Z
570,4.0,PT0H,2024-10-12T00:00:00.000Z
571,4.4,PT6H,2024-10-12T00:00:00.000Z
572,7.3,PT0H,2024-10-13T00:00:00.000Z
573,6.0,PT6H,2024-10-13T00:00:00.000Z
574,4.9,PT0H,2024-10-14T00:00:00.000Z
575,6.2,PT6H,2024-10-14T00:00:00.000Z
576,3.2,PT0H,2024-10-15T00:00:00.000Z
577,3.8,PT6H,2024-10-15T00:00:00.000Z
578,6.7,PT0H,2024-10-16T00:00:00.000Z
579,4.5,PT6H,2024-10-16T00:00:00.000Z
580,8.3,PT0H,2024-10-17T00:00:00.000Z
581,7.6,PT6H,2024-10-17T00:00:00.000Z
582,9.9,PT0H,2024-10-18T00:00:00.000Z
583,8.8,PT6H,2024-10-18T00:00:00.000Z
584,11.4,PT0H,2024-10-19T00:00:00.000Z
585,10.3,PT6H,2024-10-19T00:00:00.000Z
586,11.5,PT0H,2024-10-20T00:00:00.000Z
587,11.4,PT6H,2024-10-20T00:00:00.000Z
588,12.2,PT0H,2024-10-21T00:00:00.000Z
589,12.0,PT6H,2024-10-21T00:00:00.000Z
590,8.9,PT0H,2024-10-22T00:00:00.000Z
591,10.3,PT6H,2024-10-22T00:00:00.000Z
592,8.1,PT0H,2024-10-23T00:00:00.000Z
593,8.9,PT6H,2024-10-23T00:00:00.000Z
594,10.1,PT0H,2024-10-24T00:00:00.000Z
595,8.8,PT6H,2024-10-24T00:00:00.000Z
596,8.4,PT0H,2024-10-25T00:00:00.000Z
597,10.1,PT6H,2024-10-25T00:00:00.000Z
598,7.8,PT0H,2024-10-26T00:00:00.000Z
599,8.2,PT6H,2024-10-26T00:00:00.000Z
600,8.6,PT0H,2024-10-27T00:00:00.000Z
601,8.5,PT6H,2024-10-27T00:00:00.000Z
602,6.6,PT0H,2024-10-28T00:00:00.000Z
603,7.3,PT6H,2024-10-28T00:00:00.000Z
604,4.8,PT0H,2024-10-29T00:00:00.000Z
605,6.5,PT6H,2024-10-29T00:00:00.000Z
606,6.5,PT0H,2024-10-30T00:00:00.000Z
607,4.2,PT6H,2024-10-30T00:00:00.000Z
608,9.2,PT0H,2024-10-31T00:00:00.000Z
609,7.6,PT6H,2024-10-31T00:00:00.000Z
610,7.8,PT0H,2024-11-01T00:00:00.000Z
611,10.7,PT6H,2024-11-01T00:00:00.000Z
612,2.5,PT0H,2024-11-02T00:00:00.000Z
613,4.7,PT6H,2024-11-02T00:00:00.000Z
614,8.2,PT0H,2024-11-03T00:00:00.000Z
615,3.2,PT6H,2024-11-03T00:00:00.000Z
616,6.3,PT0H,2024-11-04T00:00:00.000Z
617,8.7,PT6H,2024-11-04T00:00:00.000Z
618,4.3,PT0H,2024-11-05T00:00:00.000Z
619,6.4,PT6H,2024-11-05T00:00:00.000Z
620,3.1,PT0H,2024-11-06T00:00:00.000Z
621,3.4,PT6H,2024-11-06T00:00:00.000Z
622,2.2,PT0H,2024-11-07T00:00:00.000Z
623,2.5,PT6H,2024-11-07T00:00:00.000Z
624,4.7,PT0H,2024-11-08T00:00:00.000Z
625,2.7,PT6H,2024-11-08T00:00:00.000Z
626,5.4,PT0H,2024-11-09T00:00:00.000Z
627,5.9,PT6H,2024-11-09T00:00:00.000Z
628,2.8,PT0H,2024-11-10T00:00:00.000Z
629,4.3,PT6H,2024-11-10T00:00:00.000Z
630,2.4,PT0H,2024-11-11T00:00:00.000Z
631,2.8,PT6H,2024-11-11T00:00:00.000Z
632,2.3,PT0H,2024-11-12T00:00:00.000Z
633,1.9,PT6H,2024-11-12T00:00:00.000Z
634,2.5,PT0H,2024-11-13T00:00:00.000Z
635,2.8,PT6H,2024-11-13T00:00:00.000Z
636,0.8,PT0H,2024-11-14T00:00:00.000Z
637,1.8,PT6H,2024-11-14T00:00:00.000Z
638,4.6,PT0H,2024-11-15T00:00:00.000Z
639,0.9,PT6H,2024-11-15T00:00:00.000Z
640,6.6,PT0H,2024-11-16T00:00:00.000Z
641,7.0,PT6H,2024-11-16T00:00:00.000Z
642,3.3,PT0H,2024-11-17T00:00:00.000Z
643,4.6,PT6H,2024-11-17T00:00:00.000Z
644,-0.1,PT0H,2024-11-18T00:00:00.000Z
645,2.4,PT6H,2024-11-18T00:00:00.000Z
646,0.4,PT0H,2024-11-19T00:00:00.000Z
647,0.3,PT6H,2024-11-19T00:00:00.000Z
648,-1.0,PT0H,2024-11-20T00:00:00.000Z
649,0.3,PT6H,2024-11-20T00:00:00.000Z
650,-3.6,PT0H,2024-11-21T00:00:00.000Z
651,-2.2,PT6H,2024-11-21T00:00:00.000Z
652,-6.3,PT0H,2024-11-22T00:00:00.000Z
653,-4.7,PT6H,2024-11-22T00:00:00.000Z
654,-3.9,PT0H,2024-11-23T00:00:00.000Z
655,-6.0,PT6H,2024-11-23T00:00:00.000Z
656,0.9,PT0H,2024-11-24T00:00:00.000Z
657,-2.3,PT6H,2024-11-24T00:00:00.000Z
658,6.2,PT0H,2024-11-25T00:00:00.000Z
659,2.6,PT6H,2024-11-25T00:00:00.000Z
660,6.3,PT0H,2024-11-26T00:00:00.000Z
661,7.3,PT6H,2024-11-26T00:00:00.000Z
662,2.8,PT0H,2024-11-27T00:00:00.000Z
663,5.3,PT6H,2024-11-27T00:00:00.000Z
664,-1.5,PT0H,2024-11-28T00:00:00.000Z
665,1.6,PT6H,2024-11-28T00:00:00.000Z
666,-1.7,PT0H,2024-11-29T00:00:00.000Z
667,-3.0,PT6H,2024-11-29T00:00:00.000Z
668,6.1,PT0H,2024-11-30T00:00:00.000Z
669,0.8,PT6H,2024-11-30T00:00:00.000Z
670,8.0,PT0H,2024-12-01T00:00:00.000Z
671,7.2,PT6H,2024-12-01T00:00:00.000Z
672,6.0,PT0H,2024-12-02T00:00:00.000Z
673,7.8,PT6H,2024-12-02T00:00:00.000Z
674,-1.7,PT0H,2024-12-03T00:00:00.000Z
675,4.2,PT6H,2024-12-03T00:00:00.000Z
676,-4.6,PT0H,2024-12-04T00:00:00.000Z
677,-3.5,PT6H,2024-12-04T00:00:00.000Z
678,-0.3,PT0H,2024-12-05T00:00:00.000Z
679,-3.5,PT6H,2024-12-05T00:00:00.000Z
680,1.4,PT0H,2024-12-06T00:00:00.000Z
681,0.5,PT6H,2024-12-06T00:00:00.000Z
682,1.7,PT0H,2024-12-07T00:00:00.000Z
683,1.5,PT6H,2024-12-07T00:00:00.000Z
684,1.1,PT0H,2024-12-08T00:00:00.000Z
685,1.7,PT6H,2024-12-08T00:00:00.000Z
686,-1.8,PT0H,2024-12-09T00:00:00.000Z
687,0.6,PT6H,2024-12-09T00:00:00.000Z
688,-5.4,PT0H,2024-12-10T00:00:00.000Z
689,-3.4,PT6H,2024-12-10T00:00:00.000Z
690,-3.7,PT0H,2024-12-11T00:00:00.000Z
691,-5.6,PT6H,2024-12-11T00:00:00.000Z
692,-3.9,PT0H,2024-12-12T00:00:00.000Z
693,-3.4,PT6H,2024-12-12T00:00:00.000Z
694,-1.0,PT0H,2024-12-13T00:00:00.000Z
695,-3.2,PT6H,2024-12-13T00:00:00.000Z
696,1.9,PT0H,2024-12-14T00:00:00.000Z
697,0.4,PT6H,2024-12-14T00:00:00.000Z
698,-0.1,PT0H,2024-12-15T00:00:00.000Z
699,0.6,PT6H,2024-12-15T00:00:00.000Z
700,4.2,PT0H,2024-12-16T00:00:00.000Z
701,2.4,PT6H,2024-12-16T00:00:00.000Z
702,1.3,PT0H,2024-12-17T00:00:00.000Z
703,3.4,PT6H,2024-12-17T00:00:00.000Z
704,5.2,PT0H,2024-12-18T00:00:00.000Z
705,0.8,PT6H,2024-12-18T00:00:00.000Z
706,3.4,PT0H,2024-12-19T00:00:00.000Z
707,6.1,PT6H,2024-12-19T00:00:00.000Z
708,1.2,PT0H,2024-12-20T00:00:00.000Z
709,2.8,PT6H,2024-12-20T00:00:00.000Z
710,0.4,PT0H,2024-12-21T00:00:00.000Z
711,0.0,PT6H,2024-12-21T00:00:00.000Z
712,2.3,PT0H,2024-12-22T00:00:00.000Z
713,1.5,PT6H,2024-12-22T00:00:00.000Z
714,1.2,PT0H,2024-12-23T00:00:00.000Z
715,2.0,PT6H,2024-12-23T00:00:00.000Z
716,0.4,PT0H,2024-12-24T00:00:00.000Z
717,0.0,PT6H,2024-12-24T00:00:00.000Z
718,4.7,PT0H,2024-12-25T00:00:00.000Z
719,2.4,PT6H,2024-12-25T00:00:00.000Z
720,4.7,PT0H,2024-12-26T00:00:00.000Z
721,4.6,PT6H,2024-12-26T00:00:00.000Z
722,2.5,PT0H,2024-12-27T00:00:00.000Z
723,4.2,PT6H,2024-12-27T00:00:00.000Z
724,2.1,PT0H,2024-12-28T00:00:00.000Z
725,2.3,PT6H,2024-12-28T00:00:00.000Z
726,3.6,PT0H,2024-12-29T00:00:00.000Z
727,2.6,PT6H,2024-12-29T00:00:00.000Z
728,0.3,PT0H,2024-12-30T00:00:00.000Z
729,3.3,PT6H,2024-12-30T00:00:00.000Z
730,-7.6,PT0H,2024-01-01T00:00:00.000Z
731,-6.8,PT6H,2024-01-01T00:00:00.000Z
732,-9.4,PT0H,2024-01-02T00:00:00.000Z
733,-8.2,PT6H,2024-01-02T00:00:00.000Z
734,-8.9,PT0H,2024-01-03T00:00:00.000Z
735,-9.4,PT6H,2024-01-03T00:00:00.000Z
736,-8.4,PT0H,2024-01-04T00:00:00.000Z
737,-9.1,PT6H,2024-01-04T00:00:00.000Z
738,-3.9,PT0H,2024-01-05T00:00:00.000Z
739,-7.1,PT6H,2024-01-05T00:00:00.000Z
740,-2.1,PT0H,2024-01-06T00:00:00.000Z
741,-3.3,PT6H,2024-01-06T00:00:00.000Z
742,-0.1,PT0H,2024-01-07T00:00:00.000Z
743,-1.0,PT6H,2024-01-07T00:00:00.000Z
744,0.9,PT0H,2024-01-08T00:00:00.000Z
745,-0.4,PT6H,2024-01-08T00:00:00.000Z
746,2.4,PT0H,2024-01-09T00:00:00.000Z
747,2.2,PT6H,2024-01-09T00:00:00.000Z
748,0.3,PT0H,2024-01-10T00:00:00.000Z
749,1.7,PT6H,2024-01-10T00:00:00.000Z
750,-2.8,PT0H,2024-01-11T00:00:00.000Z
751,-1.4,PT6H,2024-01-11T00:00:00.000Z
752,-3.4,PT0H,2024-01-12T00:00:00.000Z
753,-2.4,PT6H,2024-01-12T00:00:00.000Z
754,-4.4,PT0H,2024-01-13T00:00:00.000Z
755,-3.7,PT6H,2024-01-13T00:00:00.000Z
756,-7.3,PT0H,2024-01-14T00:00:00.000Z
757,-5.2,PT6H,2024-01-14T00:00:00.000Z
758,-8.9,PT0H,2024-01-15T00:00:00.000Z
759,-7.1,PT6H,2024-01-15T00:00:00.000Z
760,-9.5,PT0H,2024-01-16T00:00:00.000Z
761,-10.0,PT6H,2024-01-16T00:00:00.000Z
762,-10.8,PT0H,2024-01-17T00:00:00.000Z
763,-9.8,PT6H,2024-01-17T00:00:00.000Z
764,-10.5,PT0H,2024-01-18T00:00:00.000Z
765,-10.8,PT6H,2024-01-18T00:00:00.000Z
766,-11.4,PT0H,2024-01-19T00:00:00.000Z
767,-10.7,PT6H,2024-01-19T00:00:00.000Z
768,-6.9,PT0H,2024-01-20T00:00:00.000Z
769,-11.0,PT6H,2024-01-20T00:00:00.000Z
770,-5.9,PT0H,2024-01-21T00:00:00.000Z
771,-5.8,PT6H,2024-01-21T00:00:00.000Z
772,-3.2,PT0H,2024-01-22T00:00:00.000Z
773,-5.9,PT6H,2024-01-22T00:00:00.000Z
774,0.2,PT0H,2024-01-23T00:00:00.000Z
775,-1.5,PT6H,2024-01-23T00:00:00.000Z
776,-3.7,PT0H,2024-01-24T00:00:00.000Z
777,-0.1,PT6H,2024-01-24T00:00:00.000Z
778,-5.5,PT0H,2024-01-25T00:00:00.000Z
779,-5.3,PT6H,2024-01-25T00:00:00.000Z
780,-5.3,PT0H,2024-01-26T00:00:00.000Z
781,-5.5,PT6H,2024-01-26T00:00:00.000Z
782,1.2,PT0H,2024-01-27T00:00:00.000Z
783,-4.0,PT6H,2024-01-27T00:00:00.000Z
784,1.5,PT0H,2024-01-28T00:00:00.000Z
785,1.9,PT6H,2024-01-28T00:00:00.000Z
786,3.3,PT0H,2024-01-29T00:00:00.000Z
787,3.1,PT6H,2024-01-29T00:00:00.000Z
788,2.8,PT0H,2024-01-30T00:00:00.000Z
789,1.9,PT6H,2024-01-30T00:00:00.000Z
790,1.9,PT0H,2024-01-31T00:00:00.000Z
791,3.1,PT6H,2024-01-31T00:00:00.000Z
792,-0.9,PT0H,2024-02-01T00:00:00.000Z
793,1.8,PT6H,2024-02-01T00:00:00.000Z
794,-3.3,PT0H,2024-02-02T00:00:00.000Z
795,-2.3,PT6H,2024-02-02T00:00:00.000Z
796,-3.5,PT0H,2024-02-03T00:00:00.000Z
797,-3.7,PT6H,2024-02-03T00:00:00.000Z
798,-3.9,PT0H,2024-02-04T00:00:00.000Z
799,-3.1,PT6H,2024-02-04T00:00:00.000Z
800,-4.0,PT0H,2024-02-05T00:00:00.000Z
801,-3.7,PT6H,2024-02-05T00:00:00.000Z
802,-7.7,PT0H,2024-02-06T00:00:00.000Z
803,-5.6,PT6H,2024-02-06T00:00:00.000Z
804,-6.2,PT0H,2024-02-07T00:00:00.000Z
805,-6.9,PT6H,2024-02-07T00:00:00.000Z
806,-10.0,PT0H,2024-02-08T00:00:00.000Z
807,-7.4,PT6H,2024-02-08T00:00:00.000Z
808,-7.4,PT0H,2024-02-09T00:00:00.000Z
809,-10.1,PT6H,2024-02-09T00:00:00.000Z
810,-5.9,PT0H,2024-02-10T00:00:00.000Z
811,-6.1,PT6H,2024-02-10T00:00:00.000Z
812,-3.2,PT0H,2024-02-11T00:00:00.000Z
813,-5.1,PT6H,2024-02-11T00:00:00.000Z
814,-6.1,PT0H,2024-02-12T00:00:00.000Z
815,-3.8,PT6H,2024-02-12T00:00:00.000Z
816,-4.0,PT0H,2024-02-13T00:00:00.000Z
817,-5.9,PT6H,2024-02-13T00:00:00.000Z
818,-5.0,PT0H,2024-02-14T00:00:00.000Z
819,-3.2,PT6H,2024-02-14T00:00:00.000Z
820,-4.3,PT0H,2024-02-15T00:00:00.000Z
821,-6.1,PT6H,2024-02-15T00:00:00.000Z
822,-1.8,PT0H,2024-02-16T00:00:00.000Z
823,-2.9,PT6H,2024-02-16T00:00:00.000Z
824,-4.4,PT0H,2024-02-17T00:00:00.000Z
825,-2.4,PT6H,2024-02-17T00:00:00.000Z
826,-2.5,PT0H,2024-02-18T00:00:00.000Z
827,-4.2,PT6H,2024-02-18T00:00:00.000Z
828,-0.3,PT0H,2024-02-19T00:00:00.000Z
829,-2.0,PT6H,2024-02-19T00:00:00.000Z
830,-2.4,PT0H,2024-02-20T00:00:00.000Z
831,-0.5,PT6H,2024-02-20T00:00:00.000Z
832,-1.0,PT0H,2024-02-21T00:00:00.000Z
833,-3.2,PT6H,2024-02-21T00:00:00.000Z
834,-0.1,PT0H,2024-02-22T00:00:00.000Z
835,0.1,PT6H,2024-02-22T00:00:00.000Z
836,0.3,PT0H,2024-02-23T00:00:00.000Z
837,-0.7,PT6H,2024-02-23T00:00:00.000Z
838,4.7,PT0H,2024-02-24T00:00:00.000Z
839,2.3,PT6H,2024-02-24T00:00:00.000Z
840,3.7,PT0H,2024-02-25T00:00:00.000Z
841,4.8,PT6H,2024-02-25T00:00:00.000Z
842,1.3,PT0H,2024-02-26T00:00:00.000Z
843,3.2,PT6H,2024-02-26T00:00:00.000Z
844,1.5,PT0H,2024-02-27T00:00:00.000Z
845,1.0,PT6H,2024-02-27T00:00:00.000Z
846,2.5,PT0H,2024-02-28T00:00:00.000Z
847,1.8,PT6H,2024-02-28T00:00:00.000Z
848,2.1,PT0H,2024-02-29T00:00:00.000Z
849,2.3,PT6H,2024-02-29T00:00:00.000Z
850,5.9,PT0H,2024-03-01T00:00:00.000Z
851,3.4,PT6H,2024-03-01T00:00:00.000Z
852,3.2,PT0H,2024-03-02T00:00:00.000Z
853,5.2,PT6H,2024-03-02T00:00:00.000Z
854,2.0,PT0H,2024-03-03T00:00:00.000Z
855,2.9,PT6H,2024-03-03T00:00:00.000Z
856,0.1,PT0H,2024-03-04T00:00:00.000Z
857,0.9,PT6H,2024-03-04T00:00:00.000Z
858,-0.8,PT0H,2024-03-05T00:00:00.000Z
859,0.1,PT6H,2024-03-05T00:00:00.000Z
860,0.4,PT0H,2024-03-06T00:00:00.000Z
861,-0.6,PT6H,2024-03-06T00:00:00.000Z
862,1.6,PT0H,2024-03-07T00:00:00.000Z
863,1.1,PT6H,2024-03-07T00:00:00.000Z
864,0.3,PT0H,2024-03-08T00:00:00.000Z
865,1.3,PT6H,2024-03-08T00:00:00.000Z
866,1.0,PT0H,2024-03-09T00:00:00.000Z
867,0.4,PT6H,2024-03-09T00:00:00.000Z
868,1.5,PT0H,2024-03-10T00:00:00.000Z
869,1.3,PT6H,2024-03-10T00:00:00.000Z
870,1.8,PT0H,2024-03-11T00:00:00.000Z
871,1.7,PT6H,2024-03-11T00:00:00.000Z
872,0.4,PT0H,2024-03-12T00:00:00.000Z
873,1.6,PT6H,2024-03-12T00:00:00.000Z
874,-2.3,PT0H,2024-03-13T00:00:00.000Z
875,-0.5,PT6H,2024-03-13T00:00:00.000Z
876,-4.2,PT0H,2024-03-14T00:00:00.000Z
877,-3.4,PT6H,2024-03-14T00:00:00.000Z
878,-2.3,PT0H,2024-03-15T00:00:00.000Z
879,-3.3,PT6H,2024-03-15T00:00:00.000Z
880,-5.8,PT0H,2024-03-16T00:00:00.000Z
881,-2.9,PT6H,2024-03-16T00:00:00.000Z
882,-3.5,PT0H,2024-03-17T00:00:00.000Z
883,-6.0,PT6H,2024-03-17T00:00:00.000Z
884,1.7,PT0H,2024-03-18T00:00:00.000Z
885,-1.9,PT6H,2024-03-18T00:00:00.000Z
886,2.7,PT0H,2024-03-19T00:00:00.000Z
887,2.5,PT6H,2024-03-19T00:00:00.000Z
888,2.7,PT0H,2024-03-20T00:00:00.000Z
889,2.5,PT6H,2024-03-20T00:00:00.000Z
890,2.3,PT0H,2024-03-21T00:00:00.000Z
891,2.9,PT6H,2024-03-21T00:00:00.000Z
892,2.1,PT0H,2024-03-22T00:00:00.000Z
893,1.7,PT6H,2024-03-22T00:00:00.000Z
894,-0.4,PT0H,2024-03-23T00:00:00.000Z
895,1.3,PT6H,2024-03-23T00:00:00.000Z
896,-2.7,PT0H,2024-03-24T00:00:00.000Z
897,-0.9,PT6H,2024-03-24T00:00:00.000Z
898,-3.3,PT0H,2024-03-25T00:00:00.000Z
899,-3.0,PT6H,2024-03-25T00:00:00.000Z
900,-3.6,PT0H,2024-03-26T00:00:00.000Z
901,-3.5,PT6H,2024-03-26T00:00:00.000Z
902,-3.1,PT0H,2024-03-27T00:00:00.000Z
903,-3.4,PT6H,2024-03-27T00:00:00.000Z
904,-2.4,PT0H,2024-03-28T00:00:00.000Z
905,-3.4,PT6H,2024-03-28T00:00:00.000Z
906,-2.3,PT0H,2024-03-29T00:00:00.000Z
907,-2.4,PT6H,2024-03-29T00:00:00.000Z
908,-1.2,PT0H,2024-03-30T00:00:00.000Z
909,-1.4,PT6H,2024-03-30T00:00:00.000Z
910,-2.7,PT0H,2024-03-31T00:00:00.000Z
911,-1.2,PT6H,2024-03-31T00:00:00.000Z
912,-5.6,PT0H,2024-04-01T00:00:00.000Z
913,-3.4,PT6H,2024-04-01T00:00:00.000Z
914,-6.0,PT0H,2024-04-02T00:00:00.000Z
915,-6.9,PT6H,2024-04-02T00:00:00.000Z
916,-4.7,PT0H,2024-04-03T00:00:00.000Z
917,-4.8,PT6H,2024-04-03T00:00:00.000Z
918,-6.6,PT0H,2024-04-04T00:00:00.000Z
919,-6.1,PT6H,2024-04-04T00:00:00.000Z
920,-5.1,PT0H,2024-04-05T00:00:00.000Z
921,-5.8,PT6H,2024-04-05T00:00:00.000Z
922,-3.9,PT0H,2024-04-06T00:00:00.000Z
923,-4.7,PT6H,2024-04-06T00:00:00.000Z
924,-1.8,PT0H,2024-04-07T00:00:00.000Z
925,-3.6,PT6H,2024-04-07T00:00:00.000Z
926,0.3,PT0H,2024-04-08T00:00:00.000Z
927,-0.9,PT6H,2024-04-08T00:00:00.000Z
928,2.7,PT0H,2024-04-09T00:00:00.000Z
929,1.2,PT6H,2024-04-09T00:00:00.000Z
930,5.6,PT0H,2024-04-10T00:00:00.000Z
931,4.4,PT6H,2024-04-10T00:00:00.000Z
932,2.9,PT0H,2024-04-11T00:00:00.000Z
933,4.5,PT6H,2024-04-11T00:00:00.000Z
934,3.6,PT0H,2024-04-12T00:00:00.000Z
935,2.5,PT6H,2024-04-12T00:00:00.000Z
936,5.2,PT0H,2024-04-13T00:00:00.000Z
937,4.3,PT6H,2024-04-13T00:00:00.000Z
938,3.0,PT0H,2024-04-14T00:00:00.000Z
939,5.1,PT6H,2024-04-14T00:00:00.000Z
940,0.8,PT0H,2024-04-15T00:00:00.000Z
941,2.0,PT6H,2024-04-15T00:00:00.000Z
942,1.1,PT0H,2024-04-16T00:00:00.000Z
943,0.5,PT6H,2024-04-16T00:00:00.000Z
944,-0.8,PT0H,2024-04-17T00:00:00.000Z
945,1.0,PT6H,2024-04-17T00:00:00.000Z
946,-1.7,PT0H,2024-04-18T00:00:00.000Z
947,-1.6,PT6H,2024-04-18T00:00:00.000Z
948,0.3,PT0H,2024-04-19T00:00:00.000Z
949,-1.3,PT6H,2024-04-19T00:00:00.000Z
950,-0.4,PT0H,2024-04-20T00:00:00.000Z
951,0.3,PT6H,2024-04-20T00:00:00.000Z
952,-1.2,PT0H,2024-04-21T00:00:00.000Z
953,-0.6,PT6H,2024-04-21T00:00:00.000Z
954,-0.5,PT0H,2024-04-22T00:00:00.000Z
955,-1.1,PT6H,2024-04-22T00:00:00.000Z
956,-0.7,PT0H,2024-04-23T00:00:00.000Z
957,-0.6,PT6H,2024-04-23T00:00:00.000Z
958,2.9,PT0H,2024-04-24T00:00:00.000Z
959,0.0,PT6H,2024-04-24T00:00:00.000Z
960,2.6,PT0H,2024-04-25T00:00:00.000Z
961,3.6,PT6H,2024-04-25T00:00:00.000Z
962,2.2,PT0H,2024-04-26T00:00:00.000Z
963,1.9,PT6H,2024-04-26T00:00:00.000Z
964,2.8,PT0H,2024-04-27T00:00:00.000Z
965,2.5,PT6H,2024-04-27T00:00:00.000Z
966,3.2,PT0H,2024-04-28T00:00:00.000Z
967,2.8,PT6H,2024-04-28T00:00:00.000Z
968,4.8,PT0H,2024-04-29T00:00:00.000Z
969,3.6,PT6H,2024-04-29T00:00:00.000Z
970,5.5,PT0H,2024-04-30T00:00:00.000Z
971,4.9,PT6H,2024-04-30T00:00:00.000Z
972,6.4,PT0H,2024-05-01T00:00:00.000Z
973,6.5,PT6H,2024-05-01T00:00:00.000Z
974,5.5,PT0H,2024-05-02T00:00:00.000Z
975,6.2,PT6H,2024-05-02T00:00:00.000Z
976,4.9,PT0H,2024-05-03T00:00:00.000Z
977,5.5,PT6H,2024-05-03T00:00:00.000Z
978,2.8,PT0H,2024-05-04T00:00:00.000Z
979,4.5,PT6H,2024-05-04T00:00:00.000Z
980,1.1,PT0H,2024-05-05T00:00:00.000Z
981,2.2,PT6H,2024-05-05T00:00:00.000Z
982,1.3,PT0H,2024-05-06T00:00:00.000Z
983,0.9,PT6H,2024-05-06T00:00:00.000Z
984,2.5,PT0H,2024-05-07T00:00:00.000Z
985,1.4,PT6H,2024-05-07T00:00:00.000Z
986,4.1,PT0H,2024-05-08T00:00:00.000Z
987,2.7,PT6H,2024-05-08T00:00:00.000Z
